,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
66,N/A,N/A,bmy,N/A,N/A,N/A,N/A,N/A,46.43,69.85,6.55,7.60,9.45,26.67,8.43,11.09,9.93,110880000000.0,110880000000.0,21.37,1.31,6.70,22.24,6.70,12650000000.0,22.24,1560000000.0,0.93,N/A,0.70,4269999999.9999995,2.56,6700000000.0,1.30,8.55,1830000000.0,1.08,0.11,73.50,23020000.0,2.87,1.38,21860000.0,N/A
67,N/A,N/A,bsx,N/A,N/A,N/A,N/A,N/A,89.83,N/A,3.19,3.72,3.23,14.64,3.85,3.74,5.52,29700000000.0,29700000000.0,15.17,1.44,4.01,16.06,4.01,5300000000.0,16.06,239000000.0,0.18,N/A,4.70,319000000.0,0.24,5680000000.0,1.43,4.69,600000000.0,0.81,0.80,91.60,26680000.0,2.62,2.37,30050000.0,N/A
68,N/A,N/A,btu,N/A,N/A,N/A,N/A,N/A,726.01,N/A,0.02,0.13,36.45,20.71,6.01,103.18,309.90,6170000000.0,6170000000.0,N/A,0.01,1.10,10.50,1.10,1080000000.0,10.50,1860000000.0,112.96,N/A,19.70,261300000.0,14.36,6320000000.0,0.84,47.80,N/A,0.08,0.56,83.10,7350000.0,4.87,39.81,6580000.0,N/A
69,N/A,N/A,bwa,N/A,N/A,N/A,N/A,N/A,70.66,13.31,0.94,2.14,7.60,12.99,8.11,17.66,35.75,9850000000.0,9850000000.0,9.90,1.29,1.23,7.23,1.23,1700000000.0,7.23,609700000.0,2.70,10.40,6.60,577700000.0,2.64,2570000000.0,1.33,16.20,867900000.0,1.67,0.43,96.60,9550000.0,2.99,4.23,11960000.0,N/A
70,N/A,N/A,bxp,N/A,N/A,N/A,N/A,N/A,116.86,32.98,7.16,3.26,23.20,34.70,2.85,10.07,16.38,27340000000.0,27340000000.0,19.41,3.21,10.88,18.16,10.88,1590000000.0,18.16,572610000.0,3.72,20.80,1.60,723720000.0,4.71,9220000000.0,1.30,35.87,N/A,0.40,0.63,97.90,1880000.0,2.25,1.56,1940000.0,N/A
71,N/A,N/A,ca,N/A,N/A,N/A,N/A,N/A,40.23,17.58,3.09,2.37,18.82,27.71,6.42,13.56,9.34,12480000000.0,12480000000.0,12.36,95.69,3.09,10.13,3.09,3350000000.0,10.13,736000000.0,1.74,0.50,5.20,2350000000.0,5.65,2100000000.0,1.28,12.67,1050000000.0,0.60,28.65,69.10,13790000.0,3.99,4.36,13490000.0,N/A
72,N/A,N/A,cab,N/A,N/A,N/A,N/A,N/A,260.02,18.20,0.82,1.79,4.74,8.08,2.50,10.39,57.03,7890000000.0,7890000000.0,13.69,1.29,1.97,17.31,1.97,1710000000.0,17.31,189330000.0,2.67,0.20,10.50,158100000.0,2.33,4750000000.0,2.62,26.96,326990000.0,0.01,27.62,82.50,8250000.0,10.96,16.30,8560000.0,N/A
73,N/A,N/A,cag,N/A,N/A,N/A,N/A,N/A,222.78,N/A,1.19,5.49,11.03,10.89,6.07,12.76,36.81,26850000000.0,26850000000.0,17.90,2.85,1.70,11.80,1.70,3310000000.0,11.80,600800000.0,4.06,449.00,1.40,95900000.0,0.22,7910000000.0,0.99,7.91,1380000000.0,0.19,3.04,74.40,5980000.0,1.64,1.39,6680000.0,N/A
74,N/A,N/A,cah,N/A,N/A,N/A,N/A,N/A,80.68,20.40,0.24,4.05,1.22,2.10,4.85,21.12,340.68,30830000000.0,30830000000.0,14.05,1.20,0.27,10.66,0.27,5710000000.0,10.66,1370000000.0,4.11,12.80,23.10,2320000000.0,7.06,5520000000.0,1.16,20.34,2940000000.0,0.79,0.20,88.30,7490000.0,2.92,2.54,6650000.0,N/A
75,N/A,N/A,cam,N/A,N/A,N/A,N/A,N/A,52.43,26.14,1.45,2.79,5.71,14.03,6.31,2.53,45.74,13450000000.0,13450000000.0,29.34,2.53,1.53,8.55,1.53,2660000000.0,8.55,70000000.0,2.59,50.60,25.90,2360000000.0,12.31,2830000000.0,2.22,23.82,708000000.0,0.11,0.74,93.00,3520000.0,1.37,1.86,3550000.0,N/A
76,N/A,N/A,camp,N/A,N/A,N/A,N/A,N/A,75.95,37.24,2.33,3.58,6.43,11.61,7.12,11.03,7.73,577590000.0,577590000.0,14.15,0.79,2.07,14.21,2.07,87400000.0,14.21,17950000.0,0.49,3.60,18.10,223340000.0,6.15,138100000.0,6.51,5.01,45060000.0,1.87,3.72,69.00,3800000.0,10.31,10.86,3650000.0,N/A
77,N/A,N/A,cat,N/A,N/A,N/A,N/A,N/A,255.94,20.80,0.88,2.81,4.47,8.97,3.23,13.33,79.10,75150000000.0,75150000000.0,20.06,44.98,1.60,10.35,1.60,12680000000.0,10.35,2100000000.0,3.50,N/A,22.60,5340000000.0,9.17,38100000000.0,1.31,25.43,6680000000.0,1.06,0.23,66.60,42830000.0,5.10,7.11,48340000.0,N/A
78,N/A,N/A,cb,N/A,N/A,N/A,N/A,N/A,37.08,13.92,2.01,1.31,14.93,18.76,2.22,9.65,58.32,37510000000.0,37510000000.0,11.49,1.21,1.98,10.02,1.98,6020000000.0,10.02,2830000000.0,8.62,23.10,1.20,12220000000.0,37.65,10800000000.0,0.57,89.77,N/A,27.49,0.30,86.20,5250000.0,1.38,1.61,21500000.0,N/A
79,N/A,N/A,cbg,N/A,N/A,N/A,N/A,N/A,160.57,17.01,0.82,3.27,5.04,7.60,5.53,22.09,32.64,13140000000.0,13140000000.0,11.31,0.86,1.21,11.81,1.21,1140000000.0,11.81,547130000.0,1.63,11.90,32.80,540400000.0,1.62,4430000000.0,0.98,8.13,N/A,1.59,1.23,95.20,4200000.0,1.45,1.47,3810000.0,N/A
80,N/A,N/A,cbs,N/A,N/A,N/A,N/A,N/A,151.86,18.38,1.71,4.31,10.18,20.47,7.45,22.39,28.69,32540000000.0,32540000000.0,N/A,N/A,2.34,10.47,2.34,13890000000.0,10.47,1400000000.0,2.89,36.80,6.20,323000000.0,0.70,8449999999.999999,1.61,12.02,1390000000.0,1.79,2.86,86.50,22400000.0,4.67,5.00,22610000.0,N/A
81,N/A,N/A,cce,N/A,N/A,N/A,N/A,N/A,403.45,19.82,1.62,11.87,8.50,13.29,7.21,49.92,30.35,15140000000.0,15140000000.0,17.79,7.06,2.16,12.56,2.16,2570000000.0,12.56,596000000.0,2.54,39.30,15.30,170000000.0,0.75,3860000000.0,0.95,4.22,941000000.0,1.08,3.21,77.50,5380000.0,2.26,2.33,6310000.0,N/A
82,N/A,N/A,cci,N/A,N/A,N/A,N/A,N/A,172.79,19.41,7.74,4.00,41.51,27.17,2.88,7.60,11.00,40700000000.0,40700000000.0,17.19,1.79,11.11,20.04,11.11,2340000000.0,20.04,477950000.0,4.42,4.70,2.20,178810000.0,0.54,12250000000.0,1.15,21.24,1800000000.0,0.34,0.73,96.20,8860000.0,3.38,2.67,9180000.0,N/A
83,N/A,N/A,ccl,N/A,N/A,N/A,N/A,N/A,37.13,21.20,2.27,1.50,11.18,12.72,3.17,7.33,20.22,44410000000.0,44410000000.0,12.22,0.79,2.83,12.26,2.83,6270000000.0,12.26,1760000000.0,2.26,N/A,0.20,1400000000.0,1.81,8820000000.0,0.35,30.79,4540000000.0,0.68,27.07,36.60,13890000.0,2.12,N/A,11130000.0,N/A
84,N/A,N/A,celg,N/A,N/A,N/A,N/A,N/A,240.76,52.50,8.45,13.30,17.31,28.50,7.43,25.75,11.68,87280000000.0,87280000000.0,14.09,0.78,9.43,28.65,9.43,8840000000.0,28.65,1600000000.0,1.94,8.60,22.90,6580000000.0,8.42,14250000000.0,4.78,7.53,2480000000.0,1.86,0.27,81.50,10500000.0,1.45,1.33,9060000.0,N/A
85,N/A,N/A,cern,N/A,N/A,N/A,N/A,N/A,15.64,35.07,4.17,4.69,12.39,20.06,10.81,14.51,12.68,18460000000.0,18460000000.0,19.93,1.57,4.24,15.30,4.24,3670000000.0,15.30,539360000.0,1.54,12.30,27.40,513179999.99999994,1.51,605150000.0,2.35,11.39,947530000.0,1.13,11.05,82.20,17800000.0,8.73,5.82,17950000.0,N/A
86,N/A,N/A,cf,N/A,N/A,N/A,N/A,N/A,127.48,12.04,1.82,1.94,16.25,30.65,6.88,16.39,18.31,13610000000.0,13610000000.0,10.51,2.20,3.16,7.56,3.16,1550000000.0,7.56,699900000.0,2.96,88.90,8.30,286000000.0,1.23,5590000000.0,0.93,17.31,1200000000.0,1.31,5.63,94.60,12280000.0,2.86,5.75,9990000.0,N/A
87,N/A,N/A,chk,N/A,N/A,N/A,N/A,N/A,449.06,N/A,0.24,N/A,115.05,1.41,0.39,142.07,19.28,13970000000.0,13970000000.0,26.11,0.26,1.09,6.82,1.09,2470000000.0,6.82,14860000000.0,33.88,N/A,43.50,825000000.0,1.26,10760000000.0,0.67,1.42,1230000000.0,1.23,0.92,96.30,224800000.0,8.26,43.84,230910000.0,N/A
88,N/A,N/A,chrw,N/A,N/A,N/A,N/A,N/A,83.49,20.69,0.76,9.02,3.78,6.37,16.77,46.66,92.96,11200000000.0,11200000000.0,17.85,2.37,0.83,12.12,0.83,2270000000.0,12.12,509700000.0,3.51,12.10,4.40,168230000.0,1.17,950000000.0,1.20,7.93,718340000.0,0.33,1.41,88.40,7790000.0,3.67,5.36,8090000.0,N/A
89,N/A,N/A,aes,N/A,N/A,N/A,N/A,N/A,337.17,24.80,0.48,2.29,2.05,17.84,4.40,11.23,22.00,26340000000.0,26340000000.0,9.57,3.11,1.76,6.90,1.76,2870000000.0,6.90,306000000.0,0.44,N/A,17.70,1750000000.0,2.62,20810000000.0,0.99,4.72,2130000000.0,1.18,0.26,96.80,15010000.0,2.21,2.14,11340000.0,N/A
90,N/A,N/A,apa,N/A,N/A,N/A,N/A,N/A,207.59,N/A,2.75,6.81,N/A,5.62,0.60,140.63,16.84,25920000000.0,25920000000.0,N/A,0.75,4.07,6.85,4.07,4320000000.0,6.85,22350000000.0,61.20,N/A,57.30,1470000000.0,3.88,8780000000.0,2.04,6.79,N/A,0.80,0.45,91.70,19340000.0,2.88,5.15,15530000.0,N/A
91,N/A,N/A,bby,N/A,N/A,N/A,N/A,N/A,39.61,13.34,0.29,2.66,2.27,4.17,7.17,17.21,114.08,10030000000.0,10030000000.0,11.11,1.22,0.25,4.35,0.25,9050000000.0,4.35,807000000.0,2.56,7.70,4.10,3280000000.0,9.67,1730000000.0,1.43,12.90,1320000000.0,1.23,13.81,89.20,28640000.0,4.28,10.97,28960000.0,N/A
92,N/A,N/A,c,N/A,N/A,N/A,N/A,N/A,N/A,7.96,1.76,0.60,24.90,35.85,0.97,7.99,23.05,87530000000.0,87530000000.0,7.57,0.23,1.26,N/A,1.26,68019999999.99999,N/A,16300000000.0,5.40,852.90,1.70,602730000000.0,204.09,368850000000.0,N/A,69.46,N/A,1.64,0.11,74.60,34810000.0,1.23,1.15,37150000.0,N/A
93,N/A,N/A,ci,N/A,N/A,N/A,N/A,N/A,42.67,17.99,0.96,3.03,5.53,9.89,4.14,18.07,147.87,39810000000.0,39810000000.0,14.39,1.49,1.05,9.89,1.05,14590000000.0,9.89,2089999999.9999998,8.04,8.80,6.70,2350000000.0,9.18,5170000000.0,1.00,46.91,2720000000.0,0.42,2.74,88.50,2330000.0,1.46,0.93,2570000.0,N/A
94,N/A,N/A,cost,N/A,N/A,N/A,N/A,N/A,55.29,28.60,0.58,6.20,2.03,3.11,6.46,20.22,265.29,67000000000.0,67000000000.0,25.08,3.25,0.57,14.06,0.57,15130000000.0,14.06,2360000000.0,5.34,3.20,1.30,6280000000.0,14.29,6130000000.0,1.03,24.67,3970000000.0,0.86,0.79,73.50,5820000.0,2.44,1.33,5570000.0,N/A
95,N/A,N/A,df,N/A,N/A,N/A,N/A,N/A,154.43,N/A,0.22,3.25,0.11,2.75,5.26,1.38,87.05,2560000000.0,2560000000.0,13.99,1.42,0.32,6.41,0.32,1970000000.0,6.41,8080000.0,0.10,250.20,15.60,60730000.0,0.66,842420000.0,1.41,5.97,408150000.0,0.93,1.18,105.40,22040000.0,8.51,19.98,20210000.0,N/A
96,N/A,N/A,dte,N/A,N/A,N/A,N/A,N/A,111.51,21.79,1.53,1.80,7.03,13.01,2.97,8.40,57.75,25610000000.0,25610000000.0,16.78,3.64,2.48,12.53,2.48,2560000000.0,12.53,725000000.0,4.05,73.20,19.20,37000000.0,0.21,9810000000.0,1.02,48.88,1910000000.0,0.16,0.46,65.10,3420000.0,2.49,1.92,2780000.0,N/A
97,N/A,N/A,esv,N/A,N/A,N/A,N/A,N/A,90.45,N/A,0.64,0.40,39.25,36.99,6.33,19.77,17.50,7230000000.0,7230000000.0,12.16,0.12,1.78,3.48,1.78,2190000000.0,3.48,1470000000.0,6.88,N/A,28.60,1300000000.0,5.53,5900000000.0,2.95,27.67,1690000000.0,4.19,0.46,88.90,24230000.0,2.89,10.39,22610000.0,N/A
98,N/A,N/A,fitb,N/A,N/A,N/A,N/A,N/A,N/A,8.66,2.15,0.91,27.90,40.84,1.22,10.82,7.68,29200000000.0,29200000000.0,9.78,1.89,4.76,N/A,4.76,N/A,N/A,1620000000.0,2.01,70.40,26.10,2880000000.0,3.68,18440000000.0,N/A,18.48,2420000000.0,1.26,0.34,80.20,21720000.0,1.74,2.67,18500000.0,N/A
99,N/A,N/A,gm,N/A,N/A,N/A,N/A,N/A,156.51,5.29,0.31,1.16,6.36,4.53,2.32,25.19,96.06,91090000000.0,91090000000.0,5.45,0.28,0.60,6.65,0.60,18300000000.0,6.65,9690000000.0,5.91,215.30,N/A,20300000000.0,13.14,63110000000.0,1.09,26.58,11980000000.0,1.66,4.66,76.50,36410000.0,2.03,2.26,30280000.0,N/A
100,N/A,N/A,hd,N/A,N/A,N/A,N/A,N/A,337.48,23.53,1.78,24.95,7.92,13.30,17.84,89.64,69.32,179930000000.0,179930000000.0,18.22,1.51,2.03,13.19,2.03,28950000000.0,13.19,7010000000.0,5.46,6.70,9.50,2220000000.0,1.77,21320000000.0,1.10,5.05,9370000000.0,0.97,0.15,73.40,9790000.0,1.38,0.76,9550000.0,N/A
101,N/A,N/A,igt,N/A,N/A,N/A,N/A,N/A,248.55,N/A,0.81,0.89,7.78,14.04,2.72,8.25,20.90,11430000000.0,11430000000.0,10.38,1.65,2.95,9.17,2.95,N/A,9.17,301730000.0,1.63,90.60,29.60,551910000.0,2.77,8750000000.0,1.36,17.64,860410000.0,0.28,52.13,29.90,2250000.0,3.18,N/A,2360000.0,N/A
102,N/A,N/A,jwn,N/A,N/A,N/A,N/A,N/A,322.04,17.93,0.69,11.36,4.16,7.95,8.46,36.24,77.49,12010000000.0,12010000000.0,15.87,4.43,0.83,6.97,0.83,5100000000.0,6.97,600000000.0,3.15,29.40,3.70,595000000.0,3.43,2800000000.0,1.03,5.02,2450000000.0,0.78,26.42,56.60,25630000.0,7.16,18.32,25350000.0,N/A
103,N/A,N/A,lly,N/A,N/A,N/A,N/A,N/A,54.69,33.03,3.86,5.29,12.07,18.76,6.51,16.07,18.80,82300000000.0,82300000000.0,18.76,1.62,4.12,15.91,4.12,14920000000.0,15.91,2410000000.0,2.26,11.60,5.00,4450000000.0,4.22,7980000000.0,1.53,13.81,2770000000.0,0.25,11.81,65.90,13210000.0,2.35,1.35,10920000.0,N/A
104,N/A,N/A,mck,N/A,N/A,N/A,N/A,N/A,84.33,19.90,0.19,4.15,1.04,1.82,3.89,21.84,817.86,43350000000.0,43350000000.0,12.29,1.26,0.23,10.10,0.23,11410000000.0,10.10,2240000000.0,8.36,34.30,3.00,3410000000.0,14.90,8720000000.0,1.11,38.83,2450000000.0,1.02,0.29,86.50,4030000.0000000005,1.48,1.75,3010000.0,N/A
105,N/A,N/A,msft,N/A,N/A,N/A,N/A,N/A,58.44,37.56,4.67,5.37,12.95,28.37,8.80,13.53,10.95,362300000000.0,362300000000.0,17.34,2.01,4.11,11.89,4.11,60540000000.0,11.89,11410000000.0,1.41,14.80,10.10,102310000000.0,12.94,44870000000.0,3.00,9.69,30580000000.0,1.04,3.78,72.60,54130000.0,1.19,0.70,44100000.0,N/A
106,N/A,N/A,nok,N/A,N/A,N/A,N/A,N/A,19.82,8.54,1.69,2.02,19.73,15.33,5.71,12.48,3.78,14920000000.0,14920000000.0,13.36,2.12,1.07,6.10,1.07,6820000000.0,6.10,1320000000.0,0.70,304.10,5.10,11060000000.0,2.81,2300000000.0,2.48,2.95,563210000.0,1.53,N/A,N/A,23020000.0,1.38,N/A,24660000.0,N/A
107,N/A,N/A,p,N/A,N/A,N/A,N/A,N/A,31.56,N/A,1.89,2.93,14.58,7.58,5.54,25.58,5.45,2140000000.0000002,2140000000.0000002,N/A,0.81,1.84,31.79,1.84,466700000.0,31.79,169660000.0,0.79,N/A,25.40,370510000.0,1.63,234580000.0,2.95,3.30,42080000.0,0.45,4.49,98.20,30530000.0,3.57,15.52,39570000.0,N/A
108,N/A,N/A,pld,N/A,N/A,N/A,N/A,N/A,63.18,25.96,9.22,1.49,36.90,23.94,1.23,5.51,4.52,34020000000.000004,34020000000.000004,N/A,N/A,14.44,23.55,14.44,1650000000.0,23.55,862790000.0,1.64,70.80,37.60,264079999.99999997,0.50,11640000000.0,1.50,27.82,963410000.0,0.73,0.92,97.60,8870000.0,2.48,1.97,8660000.0,N/A
109,N/A,N/A,r,N/A,N/A,N/A,N/A,N/A,277.68,10.76,0.49,1.61,4.64,9.66,3.81,16.08,124.44,8740000000.0,8740000000.0,9.45,1.10,1.33,4.96,1.33,1490000000.0,4.96,305110000.0,5.71,587.80,1.00,60940000.0,1.14,5520000000.0,0.65,37.15,1440000000.0,1.45,0.92,99.10,4139999.9999999995,4.34,7.82,3660000.0,N/A
110,N/A,N/A,see,N/A,N/A,N/A,N/A,N/A,871.03,28.98,1.28,17.09,4.77,12.58,7.19,39.70,34.49,13430000000.0,13430000000.0,15.75,1.99,1.91,12.24,1.91,2590000000.0,12.24,333200000.0,1.62,86.30,11.10,358400000.0,1.83,4590000000.0,1.23,2.69,967700000.0,1.41,0.56,96.00,4520000.0,2.62,2.15,4360000.0,N/A
111,N/A,N/A,stj,N/A,N/A,N/A,N/A,N/A,158.14,18.35,2.80,3.84,15.88,23.05,6.86,20.90,19.64,21690000000.0,21690000000.0,12.98,1.24,3.92,13.46,3.92,3800000000.0,13.46,880000000.0,3.07,53.90,0.60,677000000.0,2.39,6390000000.0,1.32,14.26,1040000000.0,1.19,2.44,86.30,5370000.0,2.00,2.24,4930000.0,N/A
112,N/A,N/A,tif,N/A,N/A,N/A,N/A,N/A,37.58,18.75,2.16,3.17,11.90,19.48,10.01,17.19,32.36,9560000000.0,9560000000.0,18.42,2.26,2.29,9.45,2.29,2540000000.0,9.45,496880000.0,3.83,137.60,2.20,725100000.0,5.66,1080000000.0,5.06,22.25,864820000.0,1.88,13.20,80.90,9140000.0,3.36,8.14,9390000.0,N/A
113,N/A,N/A,unp,N/A,N/A,N/A,N/A,N/A,68.60,14.80,3.08,3.26,21.88,36.91,9.41,22.78,25.18,81590000000.0,81590000000.0,13.59,1.63,3.74,8.11,3.74,17380000000.0,8.11,4770000000.0,5.49,21.90,15.40,1390000000.0,1.64,14200000000.0,1.29,24.38,7340000000.0,0.84,0.16,81.00,13190000.0,1.67,1.50,13850000.0,N/A
114,N/A,N/A,wdc,N/A,N/A,N/A,N/A,N/A,26.21,10.28,0.83,1.16,8.48,10.89,5.97,12.21,58.09,8260000000.0,8260000000.0,7.65,3.85,0.62,3.35,0.62,4219999999.9999995,3.35,1140000000.0,4.85,42.70,14.70,5860000000.0,25.18,2500000000.0,2.76,41.19,2320000000.0,1.22,2.40,77.10,12910000.0,2.55,5.60,12710000.0,N/A
115,N/A,N/A,cim,N/A,N/A,N/A,N/A,N/A,397.09,11.38,5.85,0.89,55.77,81.04,1.45,7.64,2.25,14240000000.0,14240000000.0,6.90,4.46,31.72,N/A,31.72,613370000.0,N/A,250350000.0,1.25,678.40,N/A,129520000.00000001,0.69,11700000000.0,0.59,15.70,396300000.0,0.59,4.70,59.70,3590000.0,1.77,1.91,3400000.0,N/A
116,N/A,N/A,cinf,N/A,N/A,N/A,N/A,N/A,13.32,17.21,2.05,1.64,12.33,18.16,3.10,9.75,31.35,11140000000.0,11140000000.0,22.41,6.61,2.17,11.30,2.17,947000000.0,11.30,634000000.0,3.83,6.60,0.10,544000000.0,3.31,856000000.0,1.23,39.20,1060000000.0,0.96,13.79,63.70,2560000.0,3.81,1.72,3250000.0,N/A
117,N/A,N/A,cl,N/A,N/A,N/A,N/A,N/A,N/A,44.98,3.80,N/A,8.63,24.55,19.36,392.54,17.77,66730000000.00001,66730000000.00001,22.71,4.50,4.16,15.21,4.16,9400000000.0,15.21,2470000000.0,1.52,N/A,7.60,1070000000.0000001,1.20,6570000000.0,1.24,0.34,2950000000.0,0.80,0.31,74.90,11900000.0,2.71,1.42,10940000.0,N/A
118,N/A,N/A,cldx,N/A,N/A,N/A,N/A,N/A,N/A,N/A,65.02,1.23,N/A,363.89,27.65,50.70,0.06,53600000.0,53600000.0,N/A,N/A,9.78,0.43,9.78,5480000.0,0.43,127200000.0,1.31,N/A,21.30,289890000.0,2.94,0.00,9.75,2.94,98890000.0,3.56,0.54,89.20,21700000.0,8.24,25.63,19820000.0,N/A
119,N/A,N/A,clf,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.19,N/A,37.22,7.68,3.65,N/A,13.14,2770000000.0,2770000000.0,N/A,0.24,1.38,9.61,1.38,236500000.0,9.61,104400000.0,5.13,N/A,62.90,285200000.0,1.86,2700000000.0,1.69,12.93,26500000.0,0.61,11.38,N/A,55680000.0,15.21,38.43,56330000.0,N/A
120,N/A,N/A,clx,N/A,N/A,N/A,N/A,N/A,159.60,24.43,2.85,81.98,12.05,18.88,15.19,274.32,43.79,18270000000.0,18270000000.0,24.22,3.64,3.21,14.95,3.21,2460000000.0,14.95,657000000.0,5.18,19.20,N/A,390000000.0,3.01,2300000000.0,1.10,1.53,782000000.0,0.40,0.18,75.80,5880000.0,4.71,4.58,6320000.0,N/A
121,N/A,N/A,cma,N/A,N/A,N/A,N/A,N/A,N/A,13.24,2.45,0.84,20.10,29.13,0.74,6.96,14.75,3540000000.0,3540000000.0,11.47,1.79,1.37,N/A,1.37,N/A,N/A,515000000.0,2.84,22.10,0.80,6150000000.0,34.99,3080000000.0,N/A,43.03,N/A,1.32,0.71,86.40,6110000.0,1.89,3.45,5540000.0,N/A
122,N/A,N/A,cmcsa,N/A,N/A,N/A,N/A,N/A,95.33,18.26,1.91,2.73,10.96,21.74,6.22,15.39,29.97,194710000000.0,194710000000.0,15.13,1.33,2.61,7.83,2.61,51960000000.0,7.83,8160000000.0,3.24,2.40,8.50,2400000000.0,0.98,52620000000.0,0.68,21.40,18780000000.0,1.03,0.16,84.60,27480000.0,2.10,1.31,30750000.0,N/A
123,N/A,N/A,cme,N/A,N/A,N/A,N/A,N/A,10.91,25.63,9.49,1.54,37.48,59.78,1.78,6.01,9.90,32340000000.000004,32340000000.000004,20.17,1.65,9.72,14.58,9.72,3210000000.0,14.58,1250000000.0,3.69,4.80,3.20,1770000000.0,5.24,2240000000.0,1.03,61.01,N/A,0.48,4.48,78.80,6760000.0,3.37,2.41,6380000.0,N/A
124,N/A,N/A,cmg,N/A,N/A,N/A,N/A,N/A,N/A,33.63,3.36,7.24,10.57,17.26,18.49,22.97,144.77,14590000000.0,14590000000.0,34.67,4.30,3.24,16.09,3.24,1170000000.0,16.09,475600000.0,15.10,44.00,6.80,663200000.0,22.07,0.00,2.91,69.58,683320000.0,0.48,1.58,92.40,2890000.0,1.54,10.81,2470000.0,N/A
125,N/A,N/A,cmi,N/A,N/A,N/A,N/A,N/A,21.15,13.27,0.94,2.42,7.32,10.77,8.33,18.56,107.34,17960000000.0,17960000000.0,13.03,4.22,0.94,6.99,0.94,4950000000.0,6.99,1400000000.0,7.84,63.70,6.40,1810000000.0,10.39,1640000000.0,2.09,42.49,2060000000.0,1.01,0.21,84.70,8520000.0,3.46,5.08,9130000.0,N/A
126,N/A,N/A,cms,N/A,N/A,N/A,N/A,N/A,239.35,21.69,1.76,2.89,8.10,18.01,3.68,13.67,23.43,20900000000.0,20900000000.0,18.89,2.80,3.24,11.89,3.24,2180000000.0,11.89,523000000.0,1.89,10.40,14.20,266000000.0,0.96,9510000000.0,1.01,14.21,1640000000.0,0.10,0.91,90.00,10510000.0,3.74,3.84,8690000.0,N/A
127,N/A,N/A,cnp,N/A,N/A,N/A,N/A,N/A,254.67,N/A,1.18,2.51,9.37,12.63,2.62,17.28,17.17,16469999999.999998,16469999999.999998,17.04,4.85,2.23,8.66,2.23,2280000000.0,8.66,692000000.0,1.61,N/A,24.50,1070000000.0000001,2.48,8810000000.0,1.09,8.05,1860000000.0,0.43,0.40,75.90,12630000.0,2.33,3.11,13250000.0,N/A
128,N/A,N/A,cnx,N/A,N/A,N/A,N/A,N/A,76.34,N/A,1.01,0.54,14.97,17.88,2.48,7.16,10.92,6310000000.0,6310000000.0,N/A,3.14,2.52,5.76,2.52,1000000000.0,5.76,374890000.0,1.64,58.70,47.50,72580000.0,0.32,3710000000.0,0.48,20.53,505850000.0,1.09,34.71,84.70,55070000.0,5.22,32.44,51530000.0,N/A
129,N/A,N/A,cof,N/A,N/A,N/A,N/A,N/A,N/A,10.05,1.93,0.77,21.46,35.11,1.25,8.69,34.84,87520000000.0,87520000000.0,8.50,1.49,4.64,N/A,4.64,N/A,N/A,3830000000.0,7.07,7.90,2.30,9540000000.0,18.11,59640000000.0,N/A,89.75,10130000000.0,1.34,0.52,91.70,6600000.0,1.46,1.20,7380000.0,N/A
130,N/A,N/A,cog,N/A,N/A,N/A,N/A,N/A,100.79,N/A,6.98,4.51,8.76,1.09,0.17,5.49,3.14,11120000000.0,11120000000.0,62.74,2.71,8.55,17.47,8.55,776160000.0,17.47,113890000.0,0.28,N/A,42.60,0.00,0.00,2020000000.0,0.62,4.86,740740000.0,0.23,1.67,103.90,22170000.0,2.20,5.45,20220000.0,N/A
131,N/A,N/A,coh,N/A,N/A,N/A,N/A,N/A,34.55,30.00,2.56,4.23,8.64,17.07,11.00,14.41,15.31,10560000000.0,10560000000.0,18.89,2.38,2.49,11.33,2.49,2910000000.0,11.33,366300000.0,1.32,7.30,4.50,1340000000.0,4.81,887000000.0,3.27,9.24,663800000.0,0.47,0.12,93.60,16510000.000000002,2.61,5.96,17350000.0,N/A
132,N/A,N/A,col,N/A,N/A,N/A,N/A,N/A,129.92,18.32,2.22,6.07,12.61,19.11,8.48,34.86,39.33,13910000000.0,13910000000.0,15.24,1.81,2.68,11.79,2.68,1610000000.0,11.79,658000000.0,4.90,19.20,4.60,334000000.0,2.55,2480000000.0,1.34,14.47,705000000.0,0.79,0.45,0.20,5480000.0,4.89,4.18,5330000.0,N/A
133,N/A,N/A,cop,N/A,N/A,N/A,N/A,N/A,62.07,N/A,1.59,1.21,14.61,17.42,3.08,9.47,24.40,72600000000.0,72600000000.0,76.45,0.59,2.40,11.25,2.40,10120000000.0,11.25,4430000000.0,3.58,N/A,46.50,2370000000.0,1.92,24880000000.0,0.95,32.17,7570000000.0,1.28,0.02,65.80,43940000.0,2.74,3.56,44570000.0,N/A
